"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","alt_trait","mean_ES","var_ES","samp.size_ES","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"17","DiMichele and Westerman 1997","Geographic variation in development rate between populations of the teleost Fundulus heteroclitus","developmental rate","Counter","developmental_rate",-2.7165576836348,0.0390220127632586,50,"Geographic variation in development rate between populations of the teleost Fundulus heteroclitus",1997,"Actinopterygii","Fundulus heteroclitus","latitude",1,"physiological","counter","table",2,2,"CG",1318,NA,"","",""
"18","Dittman 1997","Latitudinal compensation in oyster ciliary activity","ciliary activity","Counter","ciliary_activity",0.261548668604221,0.0257486585501011,20,"Latitudinal compensation in oyster ciliary activity",1997,"Bivalvia","Crassostrea virginica","latitude",1,"physiological","counter","graph",2,4,"CG",218,NA,"","",""
"19","Du et al. 2010","The physiological basis of geographic variation in rates of embryonic development within a widespread lizard species","development time","Counter","developmental_rate",-4.34583624362676,0.272344375303262,15,"Physiological basis of geographic variation in rates of embryonic development within a widespread lizard species",2010,"Reptilia","Sceloporus undulatus","latitude",1,"development","Counter","Graph",3,2,"CG",1282,NA,"","",""
"20","Finstad and Forseth 2006","Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.","digestion rate","Counter","metabolic_rate",1.67678120248374,0.0700048149713647,20,"Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.",2006,"Actinopterygii","Salmo salar","latitude",2,"physiological","counter","graph",6,2,"CG",1229,NA,"","",""
"21","Finstad and Forseth 2006","Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.","growth rate","Counter","growth_rate",0.664295726555724,0.0537889221823991,20,"Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.",2006,"Actinopterygii","Salmo salar","latitude",2,"physiological","counter","graph",6,2,"CG",1229,NA,"","",""
"22","Gaitan-Espitia and Nespolo. 2014","Is there metabolic cold adaptation in terrestrial ectotherms? Exploring latitudinal compensation in the invasive snail Cornu aspersum","growth rate","counter","growth_rate",-0.212229072289844,0.00423204190911506,495,"Is there metabolic cold adaptation in terrestrial ectotherms? Exploring latitudinal compensation in the invasive snail Cornu aspersum",2014,"Gastropoda","Cornu aspersum","latitude",1,"physiological","counter","graph",NA,NA,"CG",NA,NA,"","",""
"23","Gorton et al. 2018","Little plant, big city: a test of adaptation to urban environments in common ragweed (Ambrosia artemisiifolia)","flowering time","counter","phenology",-0.284596193873718,0.00304882631989894,193,"Little plant, big city: a test of adaptation to urban environments in common ragweed (Ambrosia artemisiifolia)",2018,"Asteraceae","Ambrosia artemisiifolia","urbanisation",1,"physiological","counter","graph",2,2,"CG",NA,NA,"","",""
"24","Grether et al. 2005","Countergradient variation in the sexual coloration of guppies (Poecilia Reticulata): Drosopterin synthesis balances carotenoid availability","carotenoid concentration","Counter","carotenoid_concentration",0.255414279206128,0.00608712409962388,38,"Countergradient variation in the sexual coloration of guppies (Poecilia Reticulata): Drosopterin synthesis balances carotenoid availability",2005,"Actinopterygii","Poecilia reticulata","carotenoid availability",1,"physiological","counter","graph",3,3,"CG",NA,NA,"","",""
"25","Imsland et al. 2000a","Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus","energy conversion efficiency","Counter","metabolic_rate",4.2798196550712,0.0984945444044508,30,"Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus",2000,"Actinopterygii","Hippoglossus hippoglossus","latitude",3,"physiological","counter","table",3,4,"CG",2334,NA,"","",""
"26","Imsland et al. 2000a","Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus","protein efficiency ratio","Counter","metabolic_rate",1.88937446538003,0.0312307932758469,30,"Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus",2000,"Actinopterygii","Hippoglossus hippoglossus","latitude",3,"physiological","counter","table",3,4,"CG",2334,NA,"","",""
"27","Imsland et al. 2000a","Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus","protein production value","Counter","metabolic_rate",3.66724715004393,0.0988946661114603,30,"Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus",2000,"Actinopterygii","Hippoglossus hippoglossus","latitude",3,"physiological","counter","table",3,4,"CG",2334,NA,"","",""
"28","Imsland et al. 2000b","Countergradient variation in growth and food conversion efficiency of juvenile turbot","growth rate","Counter","growth_rate",0.507238357191714,0.021919267071555,20.5,"Countergradient variation in growth and food conversion efficiency of juvenile turbot",2000,"Actinopterygii","Scophthalmus maximus","latitude",2,"physiological","counter","both",3,4,"CG",1333,NA,"","",""
"29","Imsland et al. 2000b","Countergradient variation in growth and food conversion efficiency of juvenile turbot","food conversion efficiency","Counter","metabolic_rate",2.83535636089228,0.0556672842816117,20.5,"Countergradient variation in growth and food conversion efficiency of juvenile turbot",2000,"Actinopterygii","Scophthalmus maximus","latitude",2,"physiological","counter","both",3,4,"CG",1333,NA,"","",""
"30","Imsland et al. 2001","Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains","growth rate","Counter","growth_rate",0.074294958148543,0.0175591465257321,19,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",2001,"Actinopterygii","Scophthalmus maximus","latitude",2,"physiological","counter","both",3,3,"",1554,NA,"","",""
"31","Imsland et al. 2001","Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains","food conversion efficiency","Counter","metabolic_rate",2.51886718783587,0.0412208834382611,19,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",2001,"Actinopterygii","Scophthalmus maximus","latitude",2,"physiological","counter","both",3,3,"",1554,NA,"","",""
"32","Jonassen et al. 2000","Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude","digestion rate","Counter","metabolic_rate",0.314190216287902,0.0267618438548283,19,"Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude",2000,"Actinopterygii","Hippoglossus hippoglossus","latitude",2,"physiological","counter","graph",3,4,"CG",2334,NA,"","",""
"33","Jonassen et al. 2000","Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude","growth rate","Counter","growth_rate",0.421322031388315,0.0148990192585555,56,"Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude",2000,"Actinopterygii","Hippoglossus hippoglossus","latitude",2,"physiological","counter","graph",3,4,"CG",2334,NA,"","",""
"34","Joyce 2002","The survival, longevity, diet and development of mountain stone weta Hemideina maori in the Rock and Pillar Range, New Zealand","growth rate","Counter","growth_rate",1.33895786479378,0.260124488338745,5.5,"The survival, longevity, diet and development of mountain stone weta Hemideina maori in the Rock and Pillar Range, New Zealand",2002,"Insecta","Hemideina maori","elevation",2,"physiological","counter","graph",2,2,"CG",NA,300,"","",""
"35","Joyce 2002","The survival, longevity, diet and development of mountain stone weta Hemideina maori in the Rock and Pillar Range, New Zealand","developmental rate","Counter","developmental_rate",-0.663251214797815,0.216287485115095,5.5,"The survival, longevity, diet and development of mountain stone weta Hemideina maori in the Rock and Pillar Range, New Zealand",2002,"Insecta","Hemideina maori","elevation",2,"physiological","counter","graph",2,2,"CG",NA,300,"","",""
"36","Kinnison et al. 2001","MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS","ovarian mass","Counter","gamete_size",2.74591490157646,0.0166630400487134,232,"MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS",2001,"Actinopterygii","Oncorhynchus tshawytscha","migration distance",1,"physiological","counter","table",2,3,"both",NA,NA,"","",""
"37","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","growth rate","counter","growth_rate",2.25273977289568,0.150505813673408,12,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","counter","graph",NA,NA,"CG",NA,NA,"","",""
"38","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","growth rate","counter","growth_rate",2.25273977289568,0.150505813673408,12,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","co","graph",NA,NA,"CG",NA,NA,"","",""
"39","Kokita 2003","Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments","egg volume","Counter","gamete_size",13.4100031310905,0.367237051098005,50,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",2003,"Actinopterygii","Pomacentrus coelestis","temperature",2,"physiological","counter","graph",3,3,"",943,NA,"","",""
"40","Kokita 2003","Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments","egg weight","Counter","gamete_size",-6.42425090131542,0.0219946088196903,200,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",2003,"Actinopterygii","Pomacentrus coelestis","temperature",2,"physiological","counter","graph",3,3,"",943,NA,"","",""
"41","Kokita 2004","Latitudinal compensation in female reproductive rate of a geographically widespread reef fish","spawning interval","Counter","reproductive_rate",-1.83976117040437,0.107945094300287,9,"Latitudinal compensation in female reproductive rate of a geographically widespread reef fish",2004,"Actinopterygii","Pomacentrus coelestis","latitude",1,"physiological","counter","graph",3,3,"",943,NA,"","",""
"42","Laugen et al. 2003","Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation","developmental rate","Counter","developmental_rate",-0.739029902217125,0.00448160690454353,141,"Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation",2003,"Amphibia","Rana temporaria","latitude",1,"physiological","counter","graph",5,3,"",1489,NA,"Photosynthetic photon flux density (PPFD)","",""
"43","Laurila et al. 2003","Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment","growth rate","Counter","growth_rate",3.00301255568104,0.108964346732434,20,"Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment",2003,"Amphibia","Rana temporaria","latitude",4,"physiological","counter","graph",2,2,"CG",801,NA,"","",""
"44","Laurila et al. 2003","Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment","body size","Counter","body_size",1.98719598500276,0.0756825585936803,20,"Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment",2003,"Amphibia","Rana temporaria","latitude",4,"physiological","counter","graph",2,2,"CG",801,NA,"","",""
"45","Laurila et al. 2003","Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment","development time","Counter","developmental_rate",-2.78922316025985,0.0992183691568304,20,"Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment",2003,"Amphibia","Rana temporaria","latitude",4,"physiological","counter","graph",2,2,"CG",801,NA,"","",""
"46","Laurila et al. 2003","Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment","weight","Counter","body_size",1.06402636070909,0.057171488887802,20,"Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment",2003,"Amphibia","Rana temporaria","latitude",4,"physiological","counter","graph",2,2,"CG",801,NA,"","",""
"47","Laurila et al. 2008","Antipredator defenses along a latitudinal gradient in Rana temporaria","growth rate","Counter","growth_rate",1.33377619323887,0.107591569382436,12,"Antipredator defenses along a latitudinal gradient in Rana temporaria",2008,"Amphibia","Rana temporaria","latitude",2,"physiological","Counter","graph",7,2,"CG",1448,NA,"","",""
"48","Laurila et al. 2008","Antipredator defenses along a latitudinal gradient in Rana temporaria","developmental rate","Counter","developmental_rate",-1.95946222059107,0.134063745059012,12,"Antipredator defenses along a latitudinal gradient in Rana temporaria",2008,"Amphibia","Rana temporaria","latitude",2,"physiological","Counter","graph",7,2,"CG",1448,NA,"","",""
"49","Li et al 2018","Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle","Incubation time","Counter","developmental_rate",-0.293110303225494,0.011873516981536,92,"Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle",2018,"Reptilia","Pelodiscus sinensis","latitude",1,"physiological","counter","graph",3,2,"",1563,NA,"1,36.783_2,22.7167","",""
"50","Liess et al. 2013","Hot tadpoles from cold environments need more nutrients–life history and stoichiometry reflects latitudinal adaptation","growth rate","counter","growth_rate",3.16157548891457,0.142573872178423,16,"Hot tadpoles from cold environments need morenutrients–life history and stoichiometry reflectslatitudinal adaptation",2013,"Amphibia","Rana temporaria","latitude",3,"physiological","counter","graph",5,2,"",3363,NA,"","",""
"51","Liess et al. 2013","Hot tadpoles from cold environments need more nutrients–life history and stoichiometry reflects latitudinal adaptation","developmental rate","counter","developmental_rate",-7.53371933294025,0.516240797669081,16,"Hot tadpoles from cold environments need morenutrients–life history and stoichiometry reflectslatitudinal adaptation",2013,"Amphibia","Rana temporaria","latitude",3,"physiological","counter","graph",5,2,"",3363,NA,"","",""
"52","Liess et al. 2013","Hot tadpoles from cold environments need more nutrients–life history and stoichiometry reflects latitudinal adaptation","dry metamorphic weight","counter","body_size",6.80296513524001,0.433718083704208,16,"Hot tadpoles from cold environments need morenutrients–life history and stoichiometry reflectslatitudinal adaptation",2013,"Amphibia","Rana temporaria","latitude",3,"physiological","counter","graph",5,2,"",3363,NA,"","",""
"53","Lindgren and Laurila 2005","Proximate causes of adaptive growth rates: growth efficiency variation among latitudinal populations of Rana temporaria","growth rate","Counter","growth_rate",0.0621033190533918,0.0521193051353698,18.5,"Proximate causes of adaptive growth rates: growth efficiency variation among latitudinal populations of Rana temporaria",2005,"Amphibia","Rana temporaria","latitude",2,"physiological","counter","graph",8,2,"CG",1445,NA,"used body size corrected","",""
"54","Lindgren and Laurila 2005","Proximate causes of adaptive growth rates: growth efficiency variation among latitudinal populations of Rana temporaria","food consumption rate","Counter","metabolic_rate",-0.0400984468245214,0.0520612861533733,18.5,"Proximate causes of adaptive growth rates: growth efficiency variation among latitudinal populations of Rana temporaria",2005,"Amphibia","Rana temporaria","latitude",2,"physiological","counter","graph",8,2,"CG",1445,NA,"used body size corrected","",""
"55","Lindgren and Laurila 2009","Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles","size at metamorphosis","Counter","body_size",-6.23137156840436,1.71112808489194,19.5,"Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles",2009,"Amphibia","Rana temporaria","latitude",1,"physiological","counter","graph",7,1,"",1402,NA,"","",""
"56","Luquet et al. 2019","Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient","growth rate","Counter","growth_rate",-4.41977183010235,0.581579869493447,6,"Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient",2019,"Amphibia","Rana arvalis","latitude",3,"physiological","both","graph",5,2,"CG",805,NA,"","",""
"57","Luquet et al. 2019","Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient","development rate","Counter","developmental_rate",2.10989667814589,0.302229258533029,6,"Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient",2019,"Amphibia","Rana arvalis","latitude",3,"physiological","both","graph",5,2,"CG",805,NA,"","",""
"58","Manyak-Davis et al. 2013","The Relative Importance of Predation Risk and Water Temperature in Maintaining Bergmann''s Rule in a Marine Ectotherm","body size","counter","body_size",0.879648466133654,0.0187562888259892,60,"The Relative Importance of Predation Risk and Water Temperature in Maintaining Bergmann''s Rule in a Marine Ectotherm",2013,"Malacostraca","Idotea balthica","latitude",2,"physiological","both","graph",2,2,"CG",NA,NA,"","",""
"59","Marcil et al. 2006","Genetic and environmental components of phenotypic variation in body shape among populations of Atlantic cod (Gadus morhua L.)","body shape","Counter","body_shape",0.437331295693775,0.000853376004110021,1200,"Genetic and environmental components of phenotypic variation in body shape among populations of Atlantic cod (Gadus morhua L.)",2006,"Actinopterygii","Gadus morhua","temperature",1,"physiological","counter","graph",3,2,"CG",NA,NA,"","",""
"60","Nicieza et al. 1994","Variation in digestive performance between geographically disjunct populations of Atlantic salmon: countergradient in passage time and digestion rate","digestion rate","Counter","metabolic_rate",0.249230981963292,0.0673396935363456,10,"Variation in digestive performance between geographically disjunct populations of Atlantic salmon: countergradient in passage time and digestion rate",1994,"Actinopterygii","Salmo salar","latitude",1,"physiological","counter","graph",2,3,"CG",1667,NA,"","",""
"61","Nylin et al. 1996","Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests","growth rate","Counter","growth_rate",0.205225231766163,0.0446492180822132,6,"Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests",1996,"Insecta","Lasiommata petropolitana","latitude",2,"physiological","counter","table",2,4,"",223,NA,"","",""
"62","Nylin et al. 1996","Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests","developmental rate","Counter","developmental_rate",-0.934680155358439,0.0502408304714812,6,"Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests",1996,"Insecta","Lasiommata petropolitana","latitude",2,"physiological","counter","table",2,4,"",223,NA,"","",""
"63","Oromi et al. 2015","Variation of growth rate and survival in embryos and larvae of Rana temporaria populations from the Pyrenees","growth rate","counter","growth_rate",5.60114856717531,0.0161090906695384,225,"Variation of growth rate and survival in embryos and larvae of Rana temporaria populations from the Pyrenees",2015,"Amphibia","Rana temporaria","temperature",1,"physiological","co","graph",2,3,"CG",0.56,NA,"560 m distance","",""
"64","Oufiero and Angilletta 2006; exp 1","CONVERGENT EVOLUTION OF EMBRYONIC GROWTH AND DEVELOPMENT IN THE EASTERN FENCE LIZARD (SCELOPORUS UNDULATUS)","growth rate","Counter","growth_rate",1.12427190927455,0.0785878023986687,10.5,"CONVERGENT EVOLUTION OF EMBRYONIC GROWTH AND DEVELOPMENT IN THE EASTERN FENCE LIZARD (SCELOPORUS UNDULATUS)",2006,"Reptilia","Sceloporus undulatus","latitude",2,"physiological","counter","graph",2,2,"CG",932,NA,"","",""
"65","Oufiero and Angilletta 2006; exp 1","CONVERGENT EVOLUTION OF EMBRYONIC GROWTH AND DEVELOPMENT IN THE EASTERN FENCE LIZARD (SCELOPORUS UNDULATUS)","developmental rate","Counter","developmental_rate",-1.52951666499055,0.0875477170065552,10.5,"CONVERGENT EVOLUTION OF EMBRYONIC GROWTH AND DEVELOPMENT IN THE EASTERN FENCE LIZARD (SCELOPORUS UNDULATUS)",2006,"Reptilia","Sceloporus undulatus","latitude",2,"physiological","counter","graph",2,2,"CG",932,NA,"","",""
"66","Pardo and Johnson 2005","Explaining variation in life-history traits: growth rate, size, and fecundity in a marine snail across an environmental gradient lacking predators","growth rate","Counter","growth_rate",0.328152564057099,0.00255408981973551,200,"Explaining variation in life-history traits: growth rate, size, and fecundity in a marine snail across an environmental gradient lacking predators",2005,"Gastropoda","Littorina saxatilis","wave action",1,"physiological","counter","graph",2,2,"RT",NA,NA,"","",""
"67","Parsons and Joern 2014","Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper","growth rate","Counter","growth_rate",1.8390515684767,0.140734988729604,7,"Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper",2014,"Insecta","Melanoplus femurrubrum","latitude",3,"physiological","counter","graph",4,3,"CG",1891,NA,"","",""
"68","Parsons and Joern 2014","Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper","metabolic rate","Counter","metabolic_rate",3.05812941844886,0.208812438891285,7,"Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper",2014,"Insecta","Melanoplus femurrubrum","latitude",3,"physiological","counter","graph",4,3,"CG",1891,NA,"","",""
"69","Parsons and Joern 2014","Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper","developmental rate","Counter","developmental_rate",-4.60248710444166,0.405152189242677,7,"Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper",2014,"Insecta","Melanoplus femurrubrum","latitude",3,"physiological","counter","graph",4,3,"CG",1891,NA,"","",""
"70","Poykko and Tammaru 2010","Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)","mass","Counter","body_size",-1.55212435398751,0.0184569337837904,36,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",2010,"Insecta","Eilema depressa","latitude",2,"physiological","both","graph",2,4,"CG",810,NA,"","",""
